Import Sequence Number,Subject,Date Created,Start Date,Actual Start,Actual End,Priority,(IG)RegardingType,(IG)RegardingIndex,RegardingIndexID,RegardingName,Activity Status,Status Reason,Description
102166,Internal meeting: Opportunity: [31889] Opportunity for Paccar $735.36 This Quarter,3/13/2022,3/13/2022,3/13/2022,3/13/2022,Normal,3,Opportunity,31889,[31889] Opportunity for Paccar $735.36 This Quarter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102167,Onsite: Opportunity: [32363] Opportunity for Taylor Morrison Home $33139.35 Unknown,3/28/2022,4/5/2022,4/5/2022,4/5/2022,Normal,3,Opportunity,32363,[32363] Opportunity for Taylor Morrison Home $33139.35 Unknown,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102168,Meeting:  Account: Buckeye Partners,3/23/2022,3/25/2022,3/25/2022,3/25/2022,High,1,Account,101025,Buckeye Partners,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102169,Follow up: Account: Microchip Technology,3/8/2022,3/15/2022,3/15/2022,3/15/2022,Normal,1,Account,100522,Microchip Technology,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102170,Follow up: Account: Franklin Resources,5/15/2022,5/15/2022,5/15/2022,5/15/2022,High,1,Account,100493,Franklin Resources,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102171,Demo: Case: [11639] Request: Annabelle Valeros at General Dynamics,5/10/2022,5/19/2022,5/19/2022,5/19/2022,Normal,4,Case,11639,[11639] Request: Annabelle Valeros at General Dynamics,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102172,Onsite: Account: Franklin Resources,5/15/2022,5/22/2022,5/22/2022,5/22/2022,High,1,Account,100493,Franklin Resources,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102173,Meeting:  Case: [12305] Request: Karen Young at Flowserve,5/15/2022,5/23/2022,5/23/2022,5/23/2022,High,4,Case,12305,[12305] Request: Karen Young at Flowserve,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102174,Follow up: Opportunity: [35031] Opportunity for Williams $68117.1 This Quarter,2/27/2022,3/8/2022,3/8/2022,3/8/2022,Low ,3,Opportunity,35031,[35031] Opportunity for Williams $68117.1 This Quarter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102175,Follow up: Account: HNI,3/6/2022,3/6/2022,3/6/2022,3/6/2022,Normal,1,Account,100931,HNI,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102176,Internal meeting: Account: MSC Industrial Direct,5/17/2022,5/19/2022,5/19/2022,5/19/2022,High,1,Account,100721,MSC Industrial Direct,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102177,Follow up: Contact: Aiden Martin,5/20/2022,5/23/2022,5/23/2022,5/23/2022,High,2,Contact,203794,Aiden Martin,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102178,Discovery meeting: Case: [13619] Question: Karen Sanchez at Liberty Mutual Insurance Group,4/26/2022,4/28/2022,4/28/2022,4/28/2022,Normal,4,Case,13619,[13619] Question: Karen Sanchez at Liberty Mutual Insurance Group,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102179,Closeout Meeting: Opportunity: [34557] Opportunity for Teledyne Technologies $1225.83 This Quarter,2/26/2022,2/28/2022,2/28/2022,2/28/2022,Low ,3,Opportunity,34557,[34557] Opportunity for Teledyne Technologies $1225.83 This Quarter,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102180,Discovery meeting: Opportunity: [34994] Opportunity for Federated Mutual Insurance $13756.47 Next Quarter,3/7/2022,3/7/2022,3/7/2022,3/7/2022,Low ,3,Opportunity,34994,[34994] Opportunity for Federated Mutual Insurance $13756.47 Next Quarter,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102181,Demo: Opportunity: [35196] Opportunity for Diebold Nixdorf $28702.35 Unknown,4/4/2022,4/8/2022,4/8/2022,4/8/2022,Low ,3,Opportunity,35196,[35196] Opportunity for Diebold Nixdorf $28702.35 Unknown,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102182,Internal meeting: Account: Beacon Roofing Supply,4/13/2022,4/22/2022,4/22/2022,4/22/2022,High,1,Account,100434,Beacon Roofing Supply,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102183,Meeting:  Opportunity: [30092] Opportunity for Mercury General $18917.73 Unknown,3/8/2022,3/13/2022,3/13/2022,3/13/2022,High,3,Opportunity,30092,[30092] Opportunity for Mercury General $18917.73 Unknown,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102184,Onsite: Opportunity: [33129] Opportunity for EQT $9318.45 Next Quarter,3/10/2022,3/16/2022,3/16/2022,3/16/2022,Low ,3,Opportunity,33129,[33129] Opportunity for EQT $9318.45 Next Quarter,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102185,QBR: Contact: Susan Davis,2/27/2022,3/3/2022,3/3/2022,3/3/2022,Low ,2,Contact,204891,Susan Davis,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102186,Internal meeting: Account: Southern,3/26/2022,3/31/2022,3/31/2022,3/31/2022,High,1,Account,100153,Southern,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102187,Planning discussions: Case: [13046] Problem: Celeste Franklin at Charles Schwab,2/26/2022,2/27/2022,2/27/2022,2/27/2022,High,4,Case,13046,[13046] Problem: Celeste Franklin at Charles Schwab,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102188,Follow up: Case: [11110] Request: Carter Sanchez at Amerco,4/7/2022,4/15/2022,4/15/2022,4/15/2022,Low ,4,Case,11110,[11110] Request: Carter Sanchez at Amerco,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102189,Planning discussions: Case: [13346] Problem: Karen Lopez at First Horizon National,5/1/2022,5/4/2022,5/4/2022,5/4/2022,High,4,Case,13346,[13346] Problem: Karen Lopez at First Horizon National,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102190,QBR: Contact: Terry Chan,5/24/2022,6/1/2022,6/1/2022,6/1/2022,High,2,Contact,200444,Terry Chan,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102191,Planning discussions: Account: NetApp,4/25/2022,5/1/2022,5/1/2022,5/1/2022,Normal,1,Account,100479,NetApp,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102192,Demo: Account: Cleveland-Cliffs,2/24/2022,3/1/2022,3/1/2022,3/1/2022,Normal,1,Account,101038,Cleveland-Cliffs,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102193,Follow up: Account: Eldorado Resorts,3/11/2022,3/15/2022,3/15/2022,3/15/2022,High,1,Account,100868,Eldorado Resorts,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102194,Design meeting: Contact: Annabelle Flores,3/2/2022,3/8/2022,3/8/2022,3/8/2022,Low ,2,Contact,201102,Annabelle Flores,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102195,QBR: Account: Worthington Industries,3/27/2022,4/1/2022,4/1/2022,4/1/2022,High,1,Account,100664,Worthington Industries,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102196,Internal meeting: Case: [13747] Question: Phil Tompson at Sanderson Farms,4/26/2022,4/29/2022,4/29/2022,4/29/2022,Normal,4,Case,13747,[13747] Question: Phil Tompson at Sanderson Farms,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102197,Internal meeting: Contact: Arthur Torres,4/22/2022,4/27/2022,4/27/2022,4/27/2022,High,2,Contact,204737,Arthur Torres,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102198,Planning discussions: Opportunity: [33948] Opportunity for TransUnion $43646.35 This Quarter,3/7/2022,3/12/2022,3/12/2022,3/12/2022,High,3,Opportunity,33948,[33948] Opportunity for TransUnion $43646.35 This Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102199,Site visit: Contact: Jacob Tompson,5/20/2022,5/25/2022,5/25/2022,5/25/2022,Normal,2,Contact,201352,Jacob Tompson,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102200,Onsite: Account: Oneok,3/6/2022,3/10/2022,3/10/2022,3/10/2022,Low ,1,Account,100313,Oneok,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102201,Internal meeting: Opportunity: [32666] Opportunity for Starbucks $6167.7 Unknown,3/12/2022,3/18/2022,3/18/2022,3/18/2022,Low ,3,Opportunity,32666,[32666] Opportunity for Starbucks $6167.7 Unknown,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102202,Closeout Meeting: Contact: Laura Lo,3/12/2022,3/13/2022,3/13/2022,3/13/2022,High,2,Contact,200526,Laura Lo,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102203,Internal meeting: Opportunity: [32909] Opportunity for SiteOne Landscape Supply $2868.6 Next Quarter,3/27/2022,4/3/2022,4/3/2022,4/3/2022,High,3,Opportunity,32909,[32909] Opportunity for SiteOne Landscape Supply $2868.6 Next Quarter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102204,QBR: Account: Moody's,4/19/2022,4/26/2022,4/26/2022,4/26/2022,High,1,Account,100561,Moody's,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102205,QBR: Contact: Celeste Washington,3/15/2022,3/19/2022,3/19/2022,3/19/2022,High,2,Contact,204729,Celeste Washington,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102206,Planning discussions: Case: [12469] Problem: Linda Lopez at Delek US Holdings,5/9/2022,5/18/2022,5/18/2022,5/18/2022,Normal,4,Case,12469,[12469] Problem: Linda Lopez at Delek US Holdings,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102207,Internal meeting: Opportunity: [33412] Opportunity for Range Resources $33690.8 Unknown,4/8/2022,4/16/2022,4/16/2022,4/16/2022,Normal,3,Opportunity,33412,[33412] Opportunity for Range Resources $33690.8 Unknown,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102208,Follow up: Contact: Tom Sanchez,5/15/2022,5/18/2022,5/18/2022,5/18/2022,High,2,Contact,203482,Tom Sanchez,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102209,Demo: Account: Service Properties Trust,5/10/2022,5/13/2022,5/13/2022,5/13/2022,Low ,1,Account,100914,Service Properties Trust,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102210,Design meeting: Opportunity: [31913] Opportunity for Hyster-Yale Materials Handling $8994.12 This Year,5/20/2022,5/29/2022,5/29/2022,5/29/2022,High,3,Opportunity,31913,[31913] Opportunity for Hyster-Yale Materials Handling $8994.12 This Year,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
102211,Planning discussions: Opportunity: [32000] Opportunity for Rockwell Automation $25165.8 Immediate,5/6/2022,5/10/2022,5/10/2022,5/10/2022,High,3,Opportunity,32000,[32000] Opportunity for Rockwell Automation $25165.8 Immediate,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
